DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,AffordableDwelling,LoanAmount,MonthlyPayment,IsAffordable,EnclaveAffordabilityRate,EnclaveCategory
0,269500.0,Meadowlands,Brightforge,2143.0,7939.0,sqft,5,Common,0,215600.0,1029.3073770235185,0,0.7973856209150327,Mid
0,269500.0,Meadowlands,Brightforge,2143.0,7939.0,sqft,5,Common,0,215600.0,1029.3073770235185,0,0.7973856209150327,Mid
0,269500.0,Meadowlands,Brightforge,2143.0,7939.0,sqft,5,Common,0,215600.0,1029.3073770235185,0,0.7973856209150327,Mid
1,184900.0,Meadowlands,Brightforge,923.0,10083.0,sqft,5,Gleaming,1,147920.0,706.1927050524993,1,0.7973856209150327,Mid
1,184900.0,Meadowlands,Brightforge,923.0,10083.0,sqft,5,Gleaming,1,147920.0,706.1927050524993,1,0.7973856209150327,Mid
1,184900.0,Meadowlands,Brightforge,923.0,10083.0,sqft,5,Gleaming,1,147920.0,706.1927050524993,1,0.7973856209150327,Mid
2,87000.0,GnomeBurough,Petalbridge,959.0,9439.0,sqft,5,Common,1,69600.0,332.28104564395585,1,0.9698795180722891,High
2,87000.0,GnomeBurough,Petalbridge,959.0,9439.0,sqft,5,Common,1,69600.0,332.28104564395585,1,0.9698795180722891,High
2,87000.0,GnomeBurough,Petalbridge,959.0,9439.0,sqft,5,Common,1,69600.0,332.28104564395585,1,0.9698795180722891,High
2,87000.0,GnomeBurough,Petalbridge,959.0,9439.0,sqft,5,Common,1,69600.0,332.28104564395585,1,0.9698795180722891,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,1,104000.0,496.5119072840719,1,0.9534522885958107,High
